0.000100 1.0000000000e-09 0.024989
0.000100 2.0000000000e-09 0.024989
0.000100 4.0000000000e-09 0.024989
0.000100 8.0000000000e-09 0.024989
0.000100 1.6000000000e-08 0.024989
0.000100 3.2000000000e-08 0.024989
0.000100 6.4000000000e-08 0.024989
0.000100 1.2800000000e-07 0.024989
0.000100 2.5600000000e-07 0.024989
0.000100 5.1200000000e-07 0.024989
0.000100 1.0240000000e-06 0.024989
0.000100 2.0480000000e-06 0.024989
0.000100 4.0960000000e-06 0.024989
0.000100 8.1920000000e-06 0.024989
0.000100 1.6384000000e-05 0.024989
0.000100 3.2768000000e-05 0.024989
0.000100 6.5536000000e-05 0.024989
0.000100 1.3107200000e-04 0.024988
0.000100 2.6214400000e-04 0.024988
0.000100 5.2428800000e-04 0.024987
0.000100 1.0485760000e-03 0.024986
0.000100 2.0971520000e-03 0.024983
0.000100 4.1943040000e-03 0.024977
0.000100 8.3886080000e-03 0.024965
0.000100 1.0000000000e-02 0.024960
0.000100 1.0500000000e-02 0.024959
0.000100 1.1025000000e-02 0.024958
0.000100 1.1576250000e-02 0.024956
0.000100 1.2155062500e-02 0.024954
0.000100 1.2762815625e-02 0.024953
0.000100 1.3400956406e-02 0.024951
0.000100 1.4071004227e-02 0.024949
0.000100 1.4774554438e-02 0.024947
0.000100 1.5513282160e-02 0.024945
0.000100 1.6288946268e-02 0.024943
0.000100 1.7103393581e-02 0.024940
0.000100 1.7958563260e-02 0.024938
0.000100 1.8856491423e-02 0.024936
0.000100 1.9799315994e-02 0.024933
0.000100 2.0789281794e-02 0.024930
0.000100 2.1828745884e-02 0.024927
0.000100 2.2920183178e-02 0.024924
0.000100 2.4066192337e-02 0.024920
0.000100 2.5269501954e-02 0.024917
0.000100 2.6532977051e-02 0.024913
0.000100 2.7859625904e-02 0.024909
0.000100 2.9252607199e-02 0.024906
0.000100 3.0715237559e-02 0.024902
0.000100 3.2250999437e-02 0.024897
0.000100 3.3863549409e-02 0.024893
0.000100 3.5556726879e-02 0.024888
0.000100 3.7334563223e-02 0.024883
0.000100 3.9201291385e-02 0.024877
0.000100 4.1161355954e-02 0.024872
0.000100 4.3219423752e-02 0.024866
0.000100 4.5380394939e-02 0.024860
0.000100 4.7649414686e-02 0.024854
0.000100 5.0031885420e-02 0.024847
0.000100 5.2533479691e-02 0.024840
0.000100 5.5160153676e-02 0.024833
0.000100 5.7918161360e-02 0.024825
0.000100 6.0814069428e-02 0.024816
0.000100 6.3854772899e-02 0.024808
0.000100 6.7047511544e-02 0.024799
0.000100 7.0399887121e-02 0.024790
0.000100 7.3919881477e-02 0.024780
0.000100 7.7615875551e-02 0.024770
0.000100 8.1496669329e-02 0.024760
0.000100 8.5571502795e-02 0.024749
0.000100 8.9850077935e-02 0.024737
0.000100 9.4342581832e-02 0.024725
0.000100 9.9059710923e-02 0.024711
0.000100 1.0401269647e-01 0.024698
0.000100 1.0921333129e-01 0.024684
0.000100 1.1467399786e-01 0.024669
0.000100 1.2040769775e-01 0.024654
0.000100 1.2642808264e-01 0.024637
0.000100 1.3274948677e-01 0.024621
0.000100 1.3938696111e-01 0.024603
0.000100 1.4635630916e-01 0.024584
0.000100 1.5367412462e-01 0.024565
0.000100 1.6135783085e-01 0.024545
0.000100 1.6942572240e-01 0.024524
0.000100 1.7789700852e-01 0.024502
0.000100 1.8679185894e-01 0.024479
0.000100 1.9613145189e-01 0.024455
0.000100 2.0593802448e-01 0.024429
0.000100 2.1623492571e-01 0.024402
0.000100 2.2704667199e-01 0.024374
0.000100 2.3839900559e-01 0.024345
0.000100 2.5031895587e-01 0.024315
0.000100 2.6283490366e-01 0.024282
0.000100 2.7597664885e-01 0.024249
0.000100 2.8977548129e-01 0.024215
0.000100 3.0426425536e-01 0.024178
0.000100 3.1947746812e-01 0.024141
0.000100 3.3545134153e-01 0.024101
0.000100 3.5222390861e-01 0.024062
0.000100 3.6983510404e-01 0.024019
0.000100 3.8832685924e-01 0.023974
0.000100 4.0774320220e-01 0.023928
0.000100 4.2813036231e-01 0.023880
0.000100 4.4953688042e-01 0.023830
0.000100 4.7201372445e-01 0.023778
0.000100 4.9561441067e-01 0.023723
0.000100 5.2039513120e-01 0.023667
0.000100 5.4641488776e-01 0.023608
0.000100 5.7373563215e-01 0.023546
0.000100 6.0242241376e-01 0.023483
0.000100 6.3254353445e-01 0.023419
0.000100 6.6417071117e-01 0.023351
0.000100 6.9737924673e-01 0.023281
0.000100 7.3224820906e-01 0.023207
0.000100 7.6886061952e-01 0.023132
0.000100 8.0730365049e-01 0.023054
0.000100 8.4766883302e-01 0.022974
0.000100 8.9005227467e-01 0.022890
0.000100 9.3455488840e-01 0.022804
0.000100 9.8128263282e-01 0.022715
0.000100 1.0303467645e+00 0.022623
0.000100 1.0818641027e+00 0.022528
0.000100 1.1359573078e+00 0.022431
0.000100 1.1927551732e+00 0.022331
0.000200 1.0000000000e-09 0.031366
0.000200 2.0000000000e-09 0.031366
0.000200 4.0000000000e-09 0.031366
0.000200 8.0000000000e-09 0.031366
0.000200 1.6000000000e-08 0.031366
0.000200 3.2000000000e-08 0.031366
0.000200 6.4000000000e-08 0.031366
0.000200 1.2800000000e-07 0.031366
0.000200 2.5600000000e-07 0.031366
0.000200 5.1200000000e-07 0.031366
0.000200 1.0240000000e-06 0.031366
0.000200 2.0480000000e-06 0.031366
0.000200 4.0960000000e-06 0.031366
0.000200 8.1920000000e-06 0.031366
0.000200 1.6384000000e-05 0.031366
0.000200 3.2768000000e-05 0.031366
0.000200 6.5536000000e-05 0.031366
